TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO COMISSIONADO,VDCE - VICE DIR CENTRO ESTUDOS BIBLIOT,,EQUIPE GESTORA,VICE-DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO III - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,,
01ª DIREC - NATAL,NATAL,CE BIBLIOTECA ESCOLAR PROF AMERICO DE O COSTA,VÍNCULO COMISSIONADO,DCC - DIR CENTRO ESTUDOS BIBLIOT,,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - SEGURANÇA ARMADO,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
"01ª DIREC - NATAL, SETOR",NATAL,"CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP, Subcoordenadoria de Ensino Fundamental",VÍNCULO SERVIDOR,"ESPECIALISTA PERM NIVEL - II, PROF PERM NIVEL - IV (DEC JUD)",,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,APOIO ADMINISTRATIVO,SERVENTE
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,APOIO ADMINISTRATIVO,MERENDEIRA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,APOIO ADMINISTRATIVO,PORTEIRO
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, PROF PERM NIVEL - III",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,"VÍNCULO SERVIDOR, VÍNCULO CONVÊNIO","PROF PERM NIVEL - IV, CONVENIO - PROFESSOR",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,,SAP/BIBLIOTECA,PROFESSOR REGENTE
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,ASSISTENTE ADMINISTRATIVO (GNM II - LCE 698/2022),,APOIO ADMINISTRATIVO,ASSISTENTE ADMINISTRATIVO
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,"CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP, CE DE EDUCACAO ESPECIAL","VÍNCULO SERVIDOR, VÍNCULO CONVÊNIO","PROF PERM NIVEL - IV (DEC JUD), CONVENIO - ADMINISTRATIVO",,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO CONVÊNIO,CONVENIO - PROFESSOR,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,"VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - IV, PROFESSOR TEMPORARIO",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE APOIO PEDAGOGICO PROF IAPISSARA AGUIAR - CAP,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO II - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,EQUIPE GESTORA,"SALA DE AULA, COORDENADOR(A) PEDAGÓGICO(A)"
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO II - LCE 698/2022),,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,APOIO ADMINISTRATIVO,"PORTEIRO, SERVENTE"
01ª DIREC - NATAL,NATAL,"CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS, ESCOLA ESTADUAL PROFESSORA JUDITH BEZERRA DE MELO",VÍNCULO SERVIDOR,"PROF PERM NIVEL - III, PROF PERM NIVEL - V",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,VICE-DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
"01ª DIREC - NATAL, SETOR",NATAL,"CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS, 01ª DIREC - NATAL","VÍNCULO SERVIDOR, VÍNCULO RECÉM CONTRATADO","PROF PERM NIVEL - V, PROF PERM NIVEL - III",Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - SEGURANÇA ARMADO,,,
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,AUXILIAR DE INFRAESTRUTURA (GNO I - LCE 698/2022),,APOIO ADMINISTRATIVO,SERVENTE
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Professor de Educação Especial Intérprete/Tradutor de Libras, AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,"CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS, ESCOLA ESTADUAL PROFESSORA MARIA LIDIA",VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"Professor de Educação Especial, AEE",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, PROF PERM NIVEL - III",Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,APOIO ADMINISTRATIVO,PORTEIRO
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE CAPACITAÇÃO DE ED E ATEN SURDO - CAS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,Professor de Educação Especial Intérprete/Tradutor de Libras,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO CONVÊNIO,CONVENIO - PROFESSOR,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,,
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,"VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - IV, PROFESSOR TEMPORARIO",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,ESPECIALISTA PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO CONVÊNIO,CONVENIO - PROFESSOR,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,SAP/BIBLIOTECA,PROFESSOR REGENTE
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial, Educação Física",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,"CE DE EDUCACAO ESPECIAL, ESCOLA ESTADUAL PROFESSOR FRANCISCO DE ASSIS ROCHA OLIVEIRA","VÍNCULO CONVÊNIO, VÍNCULO SERVIDOR","CONVENIO - PROFESSOR , PROF PERM NIVEL - IV",,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,"VÍNCULO SERVIDOR, VÍNCULO CONVÊNIO","PROF PERM NIVEL - IV, CONVENIO - PROFESSOR",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,APOIO À EQUIPE GESTORA,INSPETOR ESCOLAR
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),,,
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,,
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"ASSESSORAMENTO TÉCNICO-PEDAGÓGICO SEEC, AEE",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,ESPECIALISTA PERM NIVEL - II,,APOIO À EQUIPE GESTORA,APOIO PEDAGÓGICO
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, PROF PERM NIVEL - III",AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO CONVÊNIO,CONVENIO - PROFESSOR,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV (DEC JUD),AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,"CE DE EDUCACAO ESPECIAL, ESCOLA ESTADUAL GENERAL ANTONIO VISINGTAINER SANTOS ROCHA",VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,"ESPECIALISTA PERM NIVEL - III, PROF PERM NIVEL - IV",,,
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"AEE, Professor de Educação Especial",,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,COORDENADOR ADM. FINANCEIRO
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,ASSISTENTE ADMINISTRATIVO (GNM II - LCE 698/2022),,APOIO ADMINISTRATIVO,ASSISTENTE ADMINISTRATIVO
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,AEE,,SALA DE AULA
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,SAP/BIBLIOTECA,PROFESSOR REGENTE
01ª DIREC - NATAL,NATAL,CE DE EDUCACAO ESPECIAL,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,AEE,,SALA DE AULA
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,"VÍNCULO CONVÊNIO, VÍNCULO SERVIDOR","CONVENIO - PROFESSOR , ESPECIALISTA PERM NIVEL - II",,EQUIPE GESTORA,COORDENADOR(A) PEDAGÓGICO(A)
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Redação, Língua Portuguesa",,SALA DE AULA
01ª DIREC - NATAL,EXTREMOZ,"CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS, ESCOLA ESTADUAL JOÃO FLORENCIO DA HORA","VÍNCULO CONVÊNIO, VÍNCULO SERVIDOR","CONVENIO - PROFESSOR , PROF PERM NIVEL - IV",,EQUIPE GESTORA,DIRETOR(A)
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASG,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - PORTEIRO,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO BOLSISTA,PROFESSOR BOLSISTA EMEPT,"Planejamento Estratégico, Metodologia do Trabalho Científico",,SALA DE AULA
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Educação Física, Futsal, Atletismo",,SALA DE AULA
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Redação, Língua Portuguesa",,SALA DE AULA
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - ASSISTENTE,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - SEGURANÇA ARMADO,,,
01ª DIREC - NATAL,EXTREMOZ,CEEP - CENTRO DE EDUCAÇÃO PROFISSIONAL PROFESSOR HÉLIO XAVIER DE VASCONCELOS,VÍNCULO TERCEIRIZADO,TERCEIRIZADO - MERENDEIRA,,,
