TIPO UNIDADE,MUNICÍPIO,ESCOLA/SETOR/UNIDADE,TIPO VÍNCULO,CARGO,DISCIPLINA,ÁREA ADMINISTRATIVA,FUNÇÃO
03ª DIREC - NOVA CRUZ,"ESPIRITO SANTO, JUNDIA","EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, ESCOLA ESTADUAL JOÃO BERNARDO","VÍNCULO SERVIDOR, VÍNCULO TEMPORÁRIO","PROF PERM NIVEL - V, PROFESSOR TEMPORARIO","Atividade APE, Componente Curricular 06, Componente Curricular 05, Componente Curricular 01, Redação, Língua Espanhola, Língua Portuguesa",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - V,,APOIO ADMINISTRATIVO,ASSISTENTE ADMINISTRATIVO
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,"VÍNCULO TEMPORÁRIO, VÍNCULO SERVIDOR","PROFESSOR TEMPORARIO, PROF PERM NIVEL - III","Componente Curricular 05, Sociologia, Componente Curricular 01, Arte, Componente Curricular 02, Componente Curricular 03, Componente Curricular 04",EQUIPE GESTORA,"SALA DE AULA, COORDENADOR ADM. FINANCEIRO"
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,ESPECIALISTA PERM NIVEL - II,,EQUIPE GESTORA,COORDENADOR(A) PEDAGÓGICO(A)
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Língua Portuguesa, Componente Curricular 02, Oficinas Formativas: Arte e Cultura ou Esporte e Lazer, Redação, Orientação Acadêmica",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,"Componente Curricular 03, História",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,"EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, EE PROF JOAO MARIA DIAS",VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,"SAP/LABORATÓRIO DE CIÊNCIAS, APOIO ADMINISTRATIVO","PROFESSOR REGENTE, ASSISTENTE ADMINISTRATIVO"
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,EQUIPE GESTORA,VICE-DIRETOR(A)
03ª DIREC - NOVA CRUZ,"ESPIRITO SANTO, JUNDIA","EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS, ESCOLA ESTADUAL JOÃO BERNARDO",VÍNCULO SERVIDOR,PROF PERM NIVEL - V,"Química, Práticas Experimentais",EQUIPE GESTORA,"SALA DE AULA, COORDENADOR ADM. FINANCEIRO"
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,"Língua Espanhola, Recomposição das Aprendizagens - Português, Língua Portuguesa, Projeto de Vida",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,"PROF PERM NIVEL - IV, ESPECIALISTA PERM NIVEL - III",,EQUIPE GESTORA,DIRETOR(A)
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO COMISSIONADO,DE IV - DIRETOR DE ESTABELECIMENTO DE ENSINO,,,
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Matemática, Atividade APE, Recomposição das Aprendizagens - Matemática",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - IV,,,
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,Componente Curricular 02,,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO TEMPORÁRIO,PROFESSOR TEMPORARIO,,,
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO SERVIDOR,PROF PERM NIVEL - III,"Gestão Pública e Terceiro Setor, Teoria e Fundamentos da Administração",,SALA DE AULA
03ª DIREC - NOVA CRUZ,ESPIRITO SANTO,EE JOAQUIM DA LUZ ENS 1 E 2 GRAUS,VÍNCULO RECÉM CONTRATADO,PROF PERM NIVEL - III,Professor de Educação Especial,,SALA DE AULA
